Serial_No,State,County,Longitude,Latitude,Rice_Variety,Stage_of_Maturity,Soil_Type,Disease_Incidence,Mean_gall_count
1,New York,New York,-74.006,40.7128,Calrose,Vegetative,Clay,0.32,1.2
2,California,Los Angeles,-118.2437,34.0522,Jasmine,Mature,Loam,0.58,2.45
3,Illinois,Cook,-87.6298,41.8781,Basmati,Seedling,Sandy,0.1,0.3
4,Texas,Harris,-95.3698,29.7604,Arborio,Vegetative,Clay,0.47,1.85
5,Arizona,Maricopa,-112.074,33.4484,Calrose,Mature,Sandy,0.21,0.65
6,Pennsylvania,Philadelphia,-75.1652,39.9526,Jasmine,Seedling,Loam,0.15,0.4
7,Washington,King,-122.3321,47.6062,Basmati,Vegetative,Clay,0.39,1.55
8,Colorado,Denver,-104.9903,39.7392,Arborio,Mature,Loam,0.52,2.1
9,Georgia,Fulton,-84.388,33.749,Calrose,Seedling,Sandy,0.08,0.25
10,Massachusetts,Suffolk,-71.0589,42.3601,Jasmine,Vegetative,Clay,0.44,1.7
